ITEM,COND,RCTYPE,RCPOS,SENTENCE,QUESTION,ANSWER,TYPE,LIST
1,a,PreN,SR,质疑助教的 那位学生 很 不高兴 所以 四处 投诉。,是那位学生质疑助教了吗？,是,item,1
1,b,PreN,OR,助教质疑的 那位学生 很 不高兴 所以 四处 投诉。,是助教很不高兴吗？,否,item,2
1,c,PostN,SR,那位学生 质疑助教的 很 不高兴 所以 四处 投诉。,是助教质疑学生了吗？,否,item,3
1,d,PostN,OR,那位学生 助教质疑的 很 不高兴 所以 四处 投诉。,是那位学生很不高兴吗？,是,item,4
2,a,PreN,SR,信任老板的 那位工程师 工作 很 认真 效率 又 高。,是那位工程师信任老板吗？,是,item,4
2,b,PreN,OR,老板信任的 那位工程师 工作 很 认真 效率 又 高。,是老板工作很认真吗？,否,item,1
2,c,PostN,SR,那位工程师 信任老板的 工作 很 认真 效率 又 高。,是老板效率很高吗？,否,item,2
2,d,PostN,OR,那位工程师 老板信任的 工作 很 认真 效率 又 高。,是那位工程师工作很认真吗？,是,item,3
3,a,PreN,SR,认识教授的 那位作家 很 有名 著作 也 很多。,是那位作家认识教授吗？,是,item,3
3,b,PreN,OR,教授认识的 那位作家 很 有名 著作 也 很多。,是教授著作很多吗？,否,item,4
3,c,PostN,SR,那位作家 认识教授的 很 有名 著作 也 很多。,是教授很有名吗？,否,item,1
3,d,PostN,OR,那位作家 教授认识的 很 有名 著作 也 很多。,是那位作家很有名吗？,是,item,2
4,a,PreN,SR,赞美声乐家的 那位指挥家 很 有天分 但 也很 骄傲。,是那位指挥家赞美声乐家了吗？,是,item,2
4,b,PreN,OR,声乐家赞美的 那位指挥家 很 有天分 但 也很 骄傲。,是声乐家很有天分吗？,否,item,3
4,c,PostN,SR,那位指挥家 赞美声乐家的 很 有天分 但 也很 骄傲。,是声乐家赞美指挥家了吗？,否,item,4
4,d,PostN,OR,那位指挥家 声乐家赞美的 很 有天分 但 也很 骄傲。,是那位指挥家很有天分吗？,是,item,1
5,a,PreN,SR,不喜欢店员的 那位经理 站在 门口 招揽 生意。,是那位经理不喜欢店员吗？,是,item,1
5,b,PreN,OR,店员不喜欢的 那位经理 站在 门口 招揽 生意。,是店员站在门口招揽生意吗？,否,item,2
5,c,PostN,SR,那位经理 不喜欢店员的 站在 门口 招揽 生意。,是店员不喜欢那位经理吗？,否,item,3
5,d,PostN,OR,那位经理 店员不喜欢的 站在 门口 招揽 生意。,是那位经理站在门口招揽生意吗？,是,item,4
6,a,PreN,SR,打扰市长的 那位工作人员 整天 打电话 因为 事情 多。,是那位工作人员打扰市长吗？,是,item,4
6,b,PreN,OR,市长打扰的 那位工作人员 整天 打电话 因为 事情 多。,是市长整天打电话吗？,否,item,1
6,c,PostN,SR,那位工作人员 打扰市长的 整天 打电话 因为 事情 多。,是市长打扰了那位工作人员吗？,否,item,2
6,d,PostN,OR,那位工作人员 市长打扰的 整天 打电话 因为 事情 多。,是那位工作人员整天打电话吗？,是,item,3
7,a,PreN,SR,遇见老太太的 那位女孩 头发 很 长 而且 也 长得 很 漂亮。,是那位女孩遇见了老太太吗？,是,item,3
7,b,PreN,OR,老太太遇见的 那位女孩 头发 很 长 而且 也 长得 很 漂亮。,是老太太头发很长吗？,否,item,4
7,c,PostN,SR,那位女孩 遇见老太太的 头发 很 长 而且 也 长得 很 漂亮。,是老太太长得很漂亮吗？,否,item,1
7,d,PostN,OR,那位女孩 老太太遇见的 头发 很 长 而且 也 长得 很 漂亮。,是那位女孩头发很长且长得很漂亮吗？,是,item,2
8,a,PreN,SR,羡慕歌手的 那位演员 想 往 其他 方面 发展 可是 没 机会。,是那位演员羡慕歌手吗？,是,item,2
8,b,PreN,OR,歌手羡慕的 那位演员 想 往 其他 方面 发展 可是 没 机会。,是歌手想往其他发面发展吗？,否,item,3
8,c,PostN,SR,那位演员 羡慕歌手的 想 往 其他 方面 发展 可是 没 机会。,是歌手羡慕演员吗？,否,item,4
8,d,PostN,OR,那位演员 歌手羡慕的 想 往 其他 方面 发展 可是 没 机会。,是那位演员想往其他方面发展吗？,是,item,1
9,a,PreN,SR,拜访大爷的 那位邻居 家境 不好 常 需要 朋友 帮忙。,是那位邻居拜访了大爷吗？,是,item,1
9,b,PreN,OR,大爷拜访的 那位邻居 家境 不好 常 需要 朋友 帮忙。,是大爷家境不好常需要朋友帮忙吗？,否,item,2
9,c,PostN,SR,那位邻居 拜访大爷的 家境 不好 常 需要 朋友 帮忙。,是大爷拜访了那位邻居吗？,否,item,3
9,d,PostN,OR,那位邻居 大爷拜访的 家境 不好 常 需要 朋友 帮忙。,是那位邻居家境不好常需要朋友帮忙吗？,是,item,4
10,a,PreN,SR,撞到外卖员的 那位邮递员 拿着 很多 东西 走路 东倒西歪。,是那位邮递员撞到了外卖员吗？,是,item,4
10,b,PreN,OR,外卖员撞到的 那位邮递员 拿着 很多 东西 走路 东倒西歪。,是外卖员拿着很多东西吗？,否,item,1
10,c,PostN,SR,那位邮递员 撞到外卖员的 拿着 很多 东西 走路 东倒西歪。,是外卖员撞到了邮递员吗？,否,item,2
10,d,PostN,OR,那位邮递员 外卖员撞到的 拿着 很多 东西 走路 东倒西歪。,是那位邮递员拿着很多东西吗？,是,item,3
11,a,PreN,SR,跟踪私家侦探的 那位警探 想 知道 真相 所以 很 积极。,是那位警探跟踪了私家侦探吗？,是,item,3
11,b,PreN,OR,私家侦探跟踪的 那位警探 想 知道 真相 所以 很 积极。,是私家侦探想知道真相所以很积极吗？,否,item,4
11,c,PostN,SR,那位警探 跟踪私家侦探的 想 知道 真相 所以 很 积极。,是私家侦探跟踪了那位警探吗？,否,item,1
11,d,PostN,OR,那位警探 私家侦探跟踪的 想 知道 真相 所以 很 积极。,是那位警探想知道真相所以很积极吗？,是,item,2
12,a,PreN,SR,模仿小丑的 那位喜剧演员 很 受 观众 欢迎 常 被 要求 签名。,是那位喜剧演员模仿了小丑吗？,是,item,2
12,b,PreN,OR,小丑模仿的 那位喜剧演员 很 受 观众 欢迎 常 被 要求 签名。,是小丑很受观众欢迎常被要求签名吗？,否,item,3
12,c,PostN,SR,那位喜剧演员 模仿小丑的 很 受 观众 欢迎 常 被 要求 签名。,是小丑模仿了那位喜剧演员吗？,否,item,4
12,d,PostN,OR,那位喜剧演员 小丑模仿的 很 受 观众 欢迎 常 被 要求 签名。,是那位喜剧演员很受观众欢迎常被要求签名吗？,是,item,1
13,a,PreN,SR,很受不了钢琴师的 那位小提琴家 脾气 不好 对人 大吼大叫。,是那位小提琴家很受不了钢琴师吗？,是,item,1
13,b,PreN,OR,钢琴师很受不了的 那位小提琴家 脾气 不好 对人 大吼大叫。,是钢琴师脾气不好对人大吼大叫吗？,否,item,2
13,c,PostN,SR,那位小提琴家 很受不了钢琴师的 脾气 不好 对人 大吼大叫。,是钢琴师很受不了那位小提琴家吗？,否,item,3
13,d,PostN,OR,那位小提琴家 钢琴师很受不了的 脾气 不好 对人 大吼大叫。,是那位小提琴家脾气不好对人大吼大叫吗？,是,item,4
14,a,PreN,SR,瞧不起鱼贩子的 那位清洁工 衣服 总是 很 脏 身上 也有 股 怪味道。,是那位清洁工瞧不起鱼贩子吗？,是,item,4
14,b,PreN,OR,鱼贩子瞧不起的 那位清洁工 衣服 总是 很 脏 身上 也有 股 怪味道。,是鱼贩子衣服总是很脏吗？,否,item,1
14,c,PostN,SR,那位清洁工 瞧不起鱼贩子的 衣服 总是 很 脏 身上 也有 股 怪味道。,是鱼贩子瞧不起那位清洁工吗？,否,item,2
14,d,PostN,OR,那位清洁工 鱼贩子瞧不起的 衣服 总是 很 脏 身上 也有 股 怪味道。,是那位清洁工衣服总是很脏吗？,是,item,3
15,a,PreN,SR,爱上明星的 那位画家 充满 不切实际的 幻想 整天 做 白日梦。,是那位画家爱上明星了吗？,是,item,3
15,b,PreN,OR,明星爱上的 那位画家 充满 不切实际的 幻想 整天 做 白日梦。,是明星充满不切实际的幻想吗？,否,item,4
15,c,PostN,SR,那位画家 爱上明星的 充满 不切实际的 幻想 整天 做 白日梦。,是明星爱上那位画家了吗？,否,item,1
15,d,PostN,OR,那位画家 明星爱上的 充满 不切实际的 幻想 整天 做 白日梦。,是那位画家充满不切实际的幻想吗？,是,item,2
16,a,PreN,SR,信任老板的 那位律师 在 法庭上 表现 非常 出色 辩护 能力 又 强。,是那位律师信任老板吗？,是,item,2
16,b,PreN,OR,老板信任的 那位律师 在 法庭上 表现 非常 出色 辩护 能力 又 强。,是老板在法庭上表现非常出色吗？,否,item,3
16,c,PostN,SR,那位律师 信任老板的 在 法庭上 表现 非常 出色 辩护 能力 又 强。,是老板辩护能力强吗？,否,item,4
16,d,PostN,OR,那位律师 老板信任的 在 法庭上 表现 非常 出色 辩护 能力 又 强。,是那位律师在法庭上表现非常出色吗？,是,item,1
17,a,PreN,SR,威胁小偷的 那位逃犯 害怕 被 警察 抓 整天 提心吊胆。,是那位逃犯威胁小偷吗？,是,item,1
17,b,PreN,OR,小偷威胁的 那位逃犯 害怕 被 警察 抓 整天 提心吊胆。,是小偷害怕被警察抓吗？,否,item,2
17,c,PostN,SR,那位逃犯 威胁小偷的 害怕 被 警察 抓 整天 提心吊胆。,是小偷威胁那位逃犯吗？,否,item,3
17,d,PostN,OR,那位逃犯 小偷威胁的 害怕 被 警察 抓 整天 提心吊胆。,是那位逃犯害怕被警察抓吗？,是,item,4
18,a,PreN,SR,邀请富豪的 那位官员 心怀不轨 但是 善于隐藏。,是那位官员邀请富豪吗？,是,item,4
18,b,PreN,OR,富豪邀请的 那位官员 心怀不轨 但是 善于隐藏。,是富豪心怀不轨吗？,否,item,1
18,c,PostN,SR,那位官员 邀请富豪的 心怀不轨 但是 善于隐藏。,是富豪邀请那位官员了吗？,否,item,2
18,d,PostN,OR,那位官员 富豪邀请的 心怀不轨 但是 善于隐藏。,是那位官员心怀不轨吗？,是,item,3
19,a,PreN,SR,协助居民的 那位消防员 受伤 了 被 送往 医院。,是那位消防员协助了居民吗？,是,item,3
19,b,PreN,OR,居民协助的 那位消防员 受伤 了 被 送往 医院。,是居民受伤了被送往医院吗？,否,item,4
19,c,PostN,SR,那位消防员 协助居民的 受伤 了 被 送往 医院。,是居民协助了那位消防员吗？,否,item,1
19,d,PostN,OR,那位消防员 居民协助的 受伤 了 被 送往 医院。,是那位消防员受伤了被送往医院吗？,是,item,2
